item_id,category,brand,current_price,anomaly_score,fraud_confidence,sold,seller_account_age_days,seller_item_count
7395,clothing,Apple,265.43,72.98765235817683,80.49382617908842,yes,8,350
2132,furniture,Gucci,110.47,71.71165093911345,79.85582546955672,yes,4,389
6319,clothing,Louis Vuitton,54.98,70.8377662998273,79.41888314991365,no,4,262
8075,clothing,Prada,37.59,70.4737754600352,79.2368877300176,no,1,392
570,electronics,Gucci,119.06,69.99344851645678,78.9967242582284,no,2,349
7266,clothing,Herman Miller,25.78,67.96181380570499,77.9809069028525,yes,3,165
5046,electronics,Herman Miller,39.9,66.34057184398966,77.17028592199483,yes,3,110
4236,clothing,Gucci,55.22,65.51118941904517,76.75559470952258,no,8,452
3434,books,Gucci,7.1,61.24196163219954,74.62098081609977,yes,5,470
3384,clothing,Prada,11.84,59.64587958448904,73.82293979224451,yes,6,300
3525,clothing,Prada,63.7,59.474686436041004,73.7373432180205,no,5,244
6261,collectibles,Louis Vuitton,96.87,58.821639935107164,73.41081996755358,yes,9,208
5495,electronics,Apple,74.42,58.08664575152251,73.04332287576125,no,8,239
3321,clothing,Apple,90.8,56.84748148439663,72.42374074219832,yes,6,201
2539,books,Supreme,37.12,56.59666161557696,72.29833080778849,yes,7,182
9845,electronics,Apple,192.3,56.48331951557275,64.39243040503034,no,22,1
4992,electronics,Apple,178.73,55.07220560744051,58.2106509492872,yes,26,1
5539,electronics,Louis Vuitton,332.24,39.11741332780426,63.55870666390213,no,5,190
8843,collectibles,Herman Miller,13.9305,38.26826468546024,66.63413234273011,yes,191,4
7802,collectibles,Louis Vuitton,24.1725,36.81749706558813,65.90874853279406,yes,877,27
1806,furniture,Louis Vuitton,250.34,36.58349715239746,62.29174857619873,no,9,134
6099,collectibles,Gucci,28.0725,36.15853993064205,65.57926996532103,yes,118,1
8104,books,Gucci,2.151,36.07072786876145,65.53536393438073,yes,857,13
7371,furniture,Herman Miller,1467.85,33.68458946721209,22.806819636398927,no,1294,34
4277,electronics,Apple,262.96,33.58283033247487,40.329439604436814,no,1645,157
749,furniture,Herman Miller,15809.35,33.29561530125872,16.64780765062936,yes,190,6
1138,electronics,,18.86,33.18030947168686,21.0516560544809,yes,770,34
2507,electronics,Generic,11.22,32.99387831486824,19.637836356549386,yes,190,12
9934,electronics,Apple,167.99,32.98288602435694,45.33106833088419,yes,393,9
2494,electronics,Apple,185.73,32.926637489495604,40.13810107759849,no,582,6
2099,electronics,Apple,133.66,31.88816630099493,33.733924093439754,no,321,6
5895,clothing,Supreme,99.73,31.706890342310857,22.073704292822107,no,1795,90
5001,electronics,Apple,2180.28,31.150296874857673,19.39102522667652,no,478,12
7343,electronics,Apple,67.69,30.981308451940144,45.15948639368615,yes,3543,184
4481,electronics,Apple,293.97,30.627761644146368,43.64338201006926,no,664,16
8819,electronics,Apple,200.12,30.505896818048768,30.750121066578117,yes,58,1
8830,electronics,Apple,83.68,30.420865500758197,30.84565427226945,no,103,1
9421,electronics,Apple,93.39,30.20554551954025,33.984991980362565,no,432,5
5715,electronics,Apple,99.97,30.1576398241263,35.344818801221884,no,289,5
3955,collectibles,Supreme,402.65,29.308430708632034,58.654215354316015,yes,1,263
211,furniture,Herman Miller,1063.3,29.275919442905966,14.637959721452983,yes,716,14
7385,electronics,Apple,285.87,29.134409713815312,31.37830401517246,yes,1243,107
8409,electronics,Apple,94.85,29.106327085597233,35.54332061973404,yes,233,2
1093,electronics,Apple,135.33,29.062920165418575,30.532602103669138,yes,1032,18
7888,electronics,Apple,125.62,29.038649786412783,31.24505657459955,yes,2645,85
1884,clothing,Gucci,428.13,28.851949348359234,16.716318469798146,yes,587,9
5894,electronics,Apple,180.88,28.652093853524836,36.265683406275635,yes,1383,4
6013,electronics,Apple,314.08,28.428824096632216,29.22524413261106,yes,845,27
8723,electronics,Apple,182.71,28.38409791418747,32.26535066945994,yes,1067,6
5331,electronics,Apple,69.01,28.26133593202689,34.59553074983562,no,318,28
501,electronics,Apple,200.6,28.181454481181266,32.777747825133666,no,312,29
5509,electronics,Apple,114.44,28.105071232267015,29.408232427371225,yes,257,5
1204,electronics,Apple,311.5,28.09576899359978,37.990087695196245,no,134,2
7362,electronics,Apple,330.58,28.021268071833227,33.6836828347823,yes,268,6
9025,electronics,Apple,140.68,27.978859537571864,35.63083362684156,yes,892,19
7813,electronics,Apple,101.57,27.91812962255953,30.323899309169413,yes,682,16
9230,electronics,Apple,196.92,27.72387190066547,38.61675186379776,yes,1187,37
7753,electronics,Apple,82.74,27.69894942203484,38.20084672431829,yes,906,17
8472,electronics,Apple,94.2,27.67343945050904,29.42014011574969,yes,1463,71
641,electronics,Apple,326.09,27.521233279172076,32.193486339573965,no,366,4
8038,electronics,Apple,142.7,27.48101631348358,38.50324535507454,yes,700,52
4748,electronics,Apple,217.57,27.425472169951366,37.08576098233081,yes,674,31
7269,electronics,Apple,247.73,27.372945525071753,36.56279911483566,no,802,17
1042,electronics,Apple,81.12,27.36559242905272,37.4461660669903,yes,441,40
2980,electronics,Apple,204.99,27.327134522238943,40.75063262971224,yes,126,1
4696,electronics,Apple,296.65,27.311610239206473,28.76905236072411,yes,60,1
6956,electronics,Apple,181.69,27.301197865301557,33.91402065919668,yes,93,1
7440,furniture,Apple,437.46,27.300172788631173,57.650086394315586,yes,1,320
5646,clothing,Louis Vuitton,88.78,27.291688220905126,23.083148463148824,yes,914,32
5279,electronics,Apple,258.92,27.251541130823682,37.89727395492676,yes,1023,10
7486,electronics,Apple,148.63,27.205498626963866,34.76415518460424,yes,2202,37
1677,electronics,Apple,236.51,27.202588462895044,32.20612954073643,yes,274,5
7313,electronics,Apple,205.66,27.155856310868053,35.91427724105331,yes,619,6
5673,electronics,Apple,314.75,27.130346368328418,28.856297389541645,yes,481,12
2794,electronics,Apple,198.76,27.097879548385613,38.66050228712629,yes,321,5
7460,electronics,Apple,223.78,27.043254420928147,31.594746262860703,no,1212,5
2376,electronics,Apple,218.66,26.97738266878163,29.966236545847703,yes,249,17
138,electronics,Apple,114.18,26.910433732743417,32.40411613452878,no,547,10
6234,electronics,Apple,81.48,26.874947708519414,33.46359279584626,yes,807,17
5551,electronics,Apple,153.76,26.854547061213403,29.764314800358658,yes,1712,35
9781,electronics,Apple,39.72,26.844377586818783,37.19104437531002,no,1254,64
2101,electronics,Apple,230.83,26.818608882372097,37.07069430660616,yes,2368,112
2593,electronics,Apple,180.38,26.797971668929222,37.84144785126546,yes,1574,22
3227,electronics,Apple,257.51,26.782774275374262,36.54578579770355,yes,203,6
7993,electronics,Apple,186.92,26.70891975960195,28.52953115891745,no,1152,15
2358,electronics,Apple,70.27,26.70678076721663,31.526333928344364,no,155,18
1474,electronics,Apple,122.15,26.697515107743815,32.38366208522198,no,723,57
7267,electronics,Apple,99.73,26.690340146685216,37.44661233250096,no,217,22
9341,electronics,Apple,175.85,26.642755929555413,28.74093724231073,no,696,42
7483,electronics,Apple,128.79,26.635428979849635,28.73468389017424,yes,133,1
