,item_id,age_years,seller_account_age_days,seller_item_count,seller_rating,image_count,description_length,original_price,current_price,month_listed,days_listed,view_count,favorite_count,price_drops,relistings,sale_price,days_to_sell,suspected_counterfeit
item_id,1.0,-0.008600752867376353,0.014490126614683553,-0.0007366167668899685,0.004942559207565137,-0.004302661812355494,0.00030274504910198413,0.006120502429449877,-0.012798969251846351,-0.008225431408432255,8.23409433681577e-05,-0.000893630199711766,0.011453092783617051,0.00573476399349484,0.010860059022228571,-0.000193086355050221,-0.00535516874448949,-0.0031886588726770734
age_years,-0.008600752867376353,1.0,-0.01536321326694379,-0.019110108591531772,0.009065772525621607,-0.0031139925456813433,0.012268497716816458,-0.14109364494319201,-0.016406943217079004,0.007611835508459173,-0.00106860003902825,-0.128813482082941,-0.12872332067563985,-0.007363770036904791,0.0010449984146443608,-0.03564126727926215,-0.003586075219352246,0.0008365197809850772
seller_account_age_days,0.014490126614683553,-0.01536321326694379,1.0,0.5301241025379416,0.17733945824525502,-0.010077965852556103,-0.015157258473341465,-0.027992427710118926,-0.026739005349845617,-0.00650753055054233,0.004888989743274191,-0.013244055663617792,-0.01882711582040344,0.01664305380936307,-0.009415337549894869,-0.02761849803227691,0.02416054055522815,-0.04033963283222863
seller_item_count,-0.0007366167668899685,-0.019110108591531772,0.5301241025379416,1.0,0.19997279837651244,0.010175516766255324,-0.008047512623975886,-0.01453096586446707,-0.004022749990801985,-0.00454120478960669,0.012471560491325707,-0.006224110916976003,-0.008578568817462912,0.00801441651680504,-0.009260486519386815,0.005659947757088145,0.0037797781142571945,0.14869697381201002
seller_rating,0.004942559207565137,0.009065772525621607,0.17733945824525502,0.19997279837651244,1.0,0.004746786401940554,-0.0017328864698984618,0.0003511900501077672,0.01051071099801007,-0.016847731245197724,0.003139935796240708,-0.006557595879008232,-0.007192166428877723,-0.010416113622673041,0.006968050623167107,-0.0023728108028349395,0.010786287422273388,0.005197722538717772
image_count,-0.004302661812355494,-0.0031139925456813433,-0.010077965852556103,0.010175516766255324,0.004746786401940554,1.0,0.020349260765147533,-0.015609769436557083,-0.007320681969807193,0.00472376847184954,-0.0337045231006849,0.12654617110610544,0.129753487699032,-0.0044455270973206215,-0.003222127828386242,-0.004065538834459894,-0.0009704495120649258,-0.024092936956814928
description_length,0.00030274504910198413,0.012268497716816458,-0.015157258473341465,-0.008047512623975886,-0.0017328864698984618,0.020349260765147533,1.0,0.009180299516770223,0.010825899596910462,-0.01845182953027491,-0.0375622288322158,0.07824028175346959,0.08726792790841488,-0.02151422168685307,0.009634169614298999,0.0031500479598251083,-0.016796112367105362,-0.025762584716196628
original_price,0.006120502429449877,-0.14109364494319201,-0.027992427710118926,-0.01453096586446707,0.0003511900501077672,-0.015609769436557083,0.009180299516770223,1.0,0.6092861033881591,0.0019935535130871096,0.004103088165712796,0.6309584818696078,0.6493136022017525,-0.00859152505196744,-0.00505137882490661,0.6623364024230763,-0.005745946611714544,0.47634710516332235
current_price,-0.012798969251846351,-0.016406943217079004,-0.026739005349845617,-0.004022749990801985,0.01051071099801007,-0.007320681969807193,0.010825899596910462,0.6092861033881591,1.0,0.001730011548497791,0.004450738777962076,0.4076344269354433,0.3927483148077412,0.011502674571522944,-0.018244189301971955,0.8813536137667047,-0.0013567868107537647,0.07610964009665888
month_listed,-0.008225431408432255,0.007611835508459173,-0.00650753055054233,-0.00454120478960669,-0.016847731245197724,0.00472376847184954,-0.01845182953027491,0.0019935535130871096,0.001730011548497791,1.0,-0.011318074475436367,-0.00024643032566016253,0.005651853161131978,-0.0023025175793934963,0.004020194110113841,-0.017597665690070468,0.004468496887659172,0.006861953803932736
days_listed,8.23409433681577e-05,-0.00106860003902825,0.004888989743274191,0.012471560491325707,0.003139935796240708,-0.0337045231006849,-0.0375622288322158,0.004103088165712796,0.004450738777962076,-0.011318074475436367,1.0,0.24344023477239596,0.1087622188881342,0.317865002074032,-0.02046594429796478,0.0005653505575188646,0.7857070638220729,-0.01401902692389181
view_count,-0.000893630199711766,-0.128813482082941,-0.013244055663617792,-0.006224110916976003,-0.006557595879008232,0.12654617110610544,0.07824028175346959,0.6309584818696078,0.4076344269354433,-0.00024643032566016253,0.24344023477239596,1.0,0.7993963410114315,0.10186647583693023,-0.001713986711488059,0.4318041475097847,0.11460118463582905,0.4084907640631501
favorite_count,0.011453092783617051,-0.12872332067563985,-0.01882711582040344,-0.008578568817462912,-0.007192166428877723,0.129753487699032,0.08726792790841488,0.6493136022017525,0.3927483148077412,0.005651853161131978,0.1087622188881342,0.7993963410114315,1.0,0.040732141573751615,-0.003915299973293243,0.45162491674169586,0.10382355247980635,0.4288697977570722
price_drops,0.00573476399349484,-0.007363770036904791,0.01664305380936307,0.00801441651680504,-0.010416113622673041,-0.0044455270973206215,-0.02151422168685307,-0.00859152505196744,0.011502674571522944,-0.0023025175793934963,0.317865002074032,0.10186647583693023,0.040732141573751615,1.0,-0.02002564965436257,0.002425166686695995,0.27059783644680613,-0.003988700539925936
relistings,0.010860059022228571,0.0010449984146443608,-0.009415337549894869,-0.009260486519386815,0.006968050623167107,-0.003222127828386242,0.009634169614298999,-0.00505137882490661,-0.018244189301971955,0.004020194110113841,-0.02046594429796478,-0.001713986711488059,-0.003915299973293243,-0.02002564965436257,1.0,-0.02246189356465031,-0.020952387257720178,0.02145887320968392
sale_price,-0.000193086355050221,-0.03564126727926215,-0.02761849803227691,0.005659947757088145,-0.0023728108028349395,-0.004065538834459894,0.0031500479598251083,0.6623364024230763,0.8813536137667047,-0.017597665690070468,0.0005653505575188646,0.4318041475097847,0.45162491674169586,0.002425166686695995,-0.02246189356465031,1.0,-0.0015419007413658484,0.08816225759966945
days_to_sell,-0.00535516874448949,-0.003586075219352246,0.02416054055522815,0.0037797781142571945,0.010786287422273388,-0.0009704495120649258,-0.016796112367105362,-0.005745946611714544,-0.0013567868107537647,0.004468496887659172,0.7857070638220729,0.11460118463582905,0.10382355247980635,0.27059783644680613,-0.020952387257720178,-0.0015419007413658484,1.0,-0.028969863485861246
suspected_counterfeit,-0.0031886588726770734,0.0008365197809850772,-0.04033963283222863,0.14869697381201002,0.005197722538717772,-0.024092936956814928,-0.025762584716196628,0.47634710516332235,0.07610964009665888,0.006861953803932736,-0.01401902692389181,0.4084907640631501,0.4288697977570722,-0.003988700539925936,0.02145887320968392,0.08816225759966945,-0.028969863485861246,1.0
